sku,channel,demand,allocated,unmet,fill_rate,priority
OSMO-01,旗舰店,600.0,408.95,191.05,0.6816,3.0
OSMO-01,电商自营,500.0,310.53,189.47,0.6211,2.0
OSMO-01,线下经销,400.0,248.42,151.58,0.6211,2.0
OSMO-01,新渠道,200.0,112.11,87.89,0.5605,1.0
POWER-02,旗舰店,300.0,235.14,64.86,0.7838,3.0
POWER-02,电商自营,350.0,241.22,108.78,0.6892,2.0
POWER-02,线下经销,250.0,172.3,77.7,0.6892,2.0
POWER-02,新渠道,120.0,71.35,48.65,0.5946,1.0
ROMO-03,旗舰店,200.0,102.54,97.46,0.5127,3.0
ROMO-03,电商自营,150.0,76.27,73.73,0.5085,2.0
ROMO-03,线下经销,100.0,50.85,49.15,0.5085,2.0
ROMO-03,新渠道,80.0,40.34,39.66,0.5042,1.0
