sku,channel,demand,allocated,unmet,fill_rate,priority
OSMO-01,旗舰店,600.0,474.89,125.11,0.7915,4.0
OSMO-01,电商自营,500.0,346.81,153.19,0.6936,3.0
OSMO-01,线下经销,400.0,199.15,200.85,0.4979,1.0
OSMO-01,新渠道,200.0,119.15,80.85,0.5957,2.0
POWER-02,旗舰店,300.0,274.16,25.84,0.9139,4.0
POWER-02,电商自营,350.0,274.89,75.11,0.7854,3.0
POWER-02,线下经销,250.0,132.12,117.88,0.5285,1.0
POWER-02,新渠道,120.0,78.83,41.17,0.6569,2.0
ROMO-03,旗舰店,200.0,118.68,81.32,0.5934,4.0
ROMO-03,电商自营,150.0,81.75,68.25,0.545,3.0
ROMO-03,线下经销,100.0,44.83,55.17,0.4483,1.0
ROMO-03,新渠道,80.0,39.74,40.26,0.4967,2.0
